sweep_name,sweep_value,seed_count,mean_reward,std_reward,min_reward,median_reward,max_reward,mean_success_rate,std_success_rate,min_success_rate,median_success_rate,max_success_rate
batch_size,16,6,-10.83573638602097,0.38306062409193914,-11.239900717501275,-10.885811299408413,-10.35115523346044,0.255,0.023452078799117156,0.21,0.265,0.27
batch_size,32,6,-10.245515767991616,0.24851508805080447,-10.604685611271158,-10.196518085589632,-9.9530927775935,0.24666666666666667,0.05501514942874068,0.17,0.26,0.3
batch_size,64,6,-9.561565367056252,0.25378083274599517,-9.997976742633002,-9.489089276911464,-9.286692154734064,0.27,0.05621387729022078,0.2,0.27,0.33
