sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
num_epochs,100,100,50,32,0,100,-11.31500672225515,2.937632976070092,-16.965159685600423,-11.267991752047148,-6.673986001330773,0.23
num_epochs,100,100,50,32,1,100,-11.213504974364898,2.8345542443360254,-16.362789305158028,-11.185363430033082,-6.089687428747943,0.3
num_epochs,100,100,50,32,2,100,-10.796453506360866,3.0689971576389463,-17.331236567958523,-10.295273870928867,-5.883416277143882,0.23
num_epochs,100,100,50,32,3,100,-10.751805101823972,2.517891186510288,-16.05171268932332,-10.61919086208282,-6.348997942877207,0.25
num_epochs,100,100,50,32,4,100,-10.915001741613185,3.0600038011802617,-17.396248643930118,-10.620940496609876,-6.312423322555912,0.24
num_epochs,100,100,50,32,5,100,-10.86205667399544,2.8204955533931915,-17.514647585413492,-10.744627275883214,-6.184135043426791,0.29
num_epochs,200,200,50,32,0,100,-10.472435813476466,2.8756549400637423,-16.13677457770561,-10.053789806039052,-5.79365299490182,0.3
num_epochs,200,200,50,32,1,100,-10.056463141346013,3.0026586943862146,-15.83108580861357,-9.517408815962233,-5.841617070224242,0.27
num_epochs,200,200,50,32,2,100,-10.457060366836298,3.0875648277012346,-16.406420248184325,-10.235586287004438,-6.221277675558557,0.23
num_epochs,200,200,50,32,3,100,-10.615304055022214,3.1379774316459605,-16.297476645356713,-10.551190550105819,-5.783707668914916,0.18
num_epochs,200,200,50,32,4,100,-10.073745337054998,2.8306288079346578,-16.202123341499956,-9.362226087236591,-5.545977786744115,0.18
num_epochs,200,200,50,32,5,100,-10.310124629099548,3.1116703709737576,-16.76502035246026,-9.679548353518893,-5.873901526977294,0.27
num_epochs,400,400,50,32,0,100,-9.983523614449124,3.0822752646067593,-16.67695890166016,-9.745959880575848,-5.6340119985653,0.25
num_epochs,400,400,50,32,1,100,-10.295519814132525,3.038653770796026,-16.25981915205472,-9.930636510592226,-5.702232666064772,0.24
num_epochs,400,400,50,32,2,100,-10.609667460262699,2.9206732205658765,-16.756381547068155,-10.87172718174136,-5.888785013010776,0.12
num_epochs,400,400,50,32,3,100,-10.265104226737234,3.198699855413037,-16.684187620764668,-10.268249326153642,-5.829068401458156,0.22
num_epochs,400,400,50,32,4,100,-10.104020701852527,2.9529366786486277,-16.307322783168903,-9.943266130134063,-5.542548507677695,0.26
num_epochs,400,400,50,32,5,100,-10.525061687570604,2.9603439854862046,-16.33172340051152,-10.356157070077021,-5.52711781187896,0.23
