sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
batch_size,16,500,50,16,0,100,-10.079403462356588,3.6688325355048828,-17.200989720006984,-10.27929220544801,-2.9626278719455073,0.26
batch_size,16,500,50,16,1,100,-10.001638615848746,3.9519561404929995,-17.790161319354905,-9.5602502995728,-3.3503504192434455,0.2
batch_size,16,500,50,16,2,100,-9.379758728532918,4.1654164320458875,-17.830143959886925,-8.78397719771787,-2.4593535790261827,0.34
batch_size,16,500,50,16,3,100,-10.557820411321043,3.8322959326994264,-17.372708049333358,-10.521046411759176,-3.856601384948352,0.15
batch_size,16,500,50,16,4,100,-10.195716987598361,4.109591780117189,-17.180005057942484,-10.372257623039811,-3.131019150866745,0.22
batch_size,16,500,50,16,5,100,-10.546611452841882,4.345857695941809,-17.848488517254246,-10.723280947485463,-2.761016146236837,0.25
batch_size,32,500,50,32,0,100,-9.255025490901795,3.9156637215756533,-17.21116881870138,-8.908526249634615,-3.7684699901511376,0.28
batch_size,32,500,50,32,1,100,-10.059697303539112,3.2062446690223854,-16.400754083390495,-10.005713055553825,-4.711975222485953,0.23
batch_size,32,500,50,32,2,100,-9.138038118309119,4.284522644524611,-18.15039023775799,-8.335780935620676,-2.1538086433683925,0.39
batch_size,32,500,50,32,3,100,-10.114237551706713,3.889438104472479,-17.75930458722881,-9.885145712522231,-3.7789509365725498,0.28
batch_size,32,500,50,32,4,100,-9.763265392974182,3.5327773892041425,-16.54448439860027,-9.295770199302503,-3.911146525353482,0.29
batch_size,32,500,50,32,5,100,-10.534994415996003,3.9703931769491976,-18.289682945972487,-10.611075420762031,-3.1628486262852156,0.24
batch_size,64,500,50,64,0,100,-9.90209614706485,2.271494135012032,-14.975680011672418,-9.394467238192751,-6.343594417201737,0.29
batch_size,64,500,50,64,1,100,-28.26885254801914,2.819119381588312,-34.90985466124691,-28.215438717903368,-21.91487381905616,0.24
batch_size,64,500,50,64,2,100,-329.31347870164444,25.080612037281877,-382.2108312209145,-327.6634211355307,-282.4081335314463,0.19
batch_size,64,500,50,64,3,100,-9.282277937649132,3.2407549885662617,-16.14020805845296,-9.026024955515815,-4.572934194699037,0.3
batch_size,64,500,50,64,4,100,-10.174942640062268,2.86345083120985,-16.061735884820212,-9.95063862398459,-5.7862923320391735,0.26
batch_size,64,500,50,64,5,100,-10.569507459383555,2.287894492254591,-15.270275424002948,-10.479539861840204,-6.145482116415031,0.21
