sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
episode_length,25,500,25,32,0,100,-5.818186711805788,2.10249125738944,-9.76965519094176,-5.812656417551837,-1.3762936780658945,0.15
episode_length,25,500,25,32,1,100,-5.556151061040781,2.2678101042954903,-9.477160126162149,-5.674910065243834,-1.6498023656100194,0.2
episode_length,25,500,25,32,2,100,-6.3241723566369865,2.4131399851987405,-10.004227414020173,-6.418050221591608,-1.2003372770832204,0.14
episode_length,25,500,25,32,3,100,-5.529233854216715,2.307946115661218,-9.95498126235545,-5.348040576926692,-1.4281687201808162,0.26
episode_length,25,500,25,32,4,100,-5.68966749618631,2.329110081015294,-9.832963882798257,-5.7142116327340915,-1.7678646588186366,0.18
episode_length,25,500,25,32,5,100,-5.63175969249301,2.0696334961761833,-9.755855992322598,-5.665867152816887,-1.5511151593380743,0.14
episode_length,50,500,50,32,0,100,-9.978530993982028,3.7063262709391895,-16.894851791003106,-10.241137951295318,-3.9529133882889034,0.28
episode_length,50,500,50,32,1,100,-10.38384669237154,3.219720256929764,-16.264166084446373,-10.494653040380001,-4.6975780388717485,0.28
episode_length,50,500,50,32,2,100,-10.239261108471874,4.543800308706607,-18.409218031564823,-10.087799276999501,-2.100621504547233,0.33
episode_length,50,500,50,32,3,100,-10.089291095230472,4.101086421750718,-17.692551797163993,-10.020383951986117,-3.5728489776388765,0.28
episode_length,50,500,50,32,4,100,-9.634578624499335,3.5975854861055803,-16.986783267088384,-9.181064426081903,-3.9448816409418193,0.28
episode_length,50,500,50,32,5,100,-10.597740344577149,4.267803781805395,-18.059512106244217,-10.910996720121283,-3.062134610947114,0.21
episode_length,100,500,100,32,0,100,-9.868026405067969,3.6263058434113953,-16.633991622917218,-9.881111257489044,-3.876079774498383,0.3
episode_length,100,500,100,32,1,100,-9.823703577590651,3.480766130614311,-16.826322352729363,-9.30030066186181,-4.877394162951197,0.22
episode_length,100,500,100,32,2,100,-10.004902819681188,4.2222493805071935,-20.683672193950333,-10.101209765393083,-2.383052585363938,0.38
episode_length,100,500,100,32,3,100,-10.167211858246977,3.791303149757069,-17.704235853448456,-9.705292487408316,-4.3266365559630025,0.29
episode_length,100,500,100,32,4,100,-9.153983776047522,3.5757864377189845,-16.743164664601615,-8.318686625032925,-3.8562363612477557,0.3
episode_length,100,500,100,32,5,100,-9.48014581823942,4.226938792466468,-18.163195651098338,-9.02063811064479,-3.1946054831418103,0.29
