sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
batch_size,16,500,50,16,0,100,-11.188319957952062,4.113253539624693,-19.130721273059407,-10.743826806663503,-4.513932355354936,0.21
batch_size,16,500,50,16,1,100,-10.35115523346044,4.470041029689517,-18.715025934378062,-10.528316301836721,-2.4304812852061883,0.27
batch_size,16,500,50,16,2,100,-10.46341980839521,4.157190694112844,-18.024626888878476,-10.471804161142003,-3.1506718149699733,0.26
batch_size,16,500,50,16,3,100,-11.239900717501275,4.334689982708181,-19.28206130708838,-11.34869331759355,-2.8720610598082934,0.25
batch_size,16,500,50,16,4,100,-10.70201833801088,4.680961055727601,-19.082016204773645,-10.612354609059324,-3.049026789334284,0.27
batch_size,16,500,50,16,5,100,-11.069604260805948,4.765586388074817,-19.300511612177143,-11.729134862087971,-3.0562003703709,0.27
batch_size,32,500,50,32,0,100,-9.9530927775935,3.0184737445415446,-16.49732808418675,-9.75144936577193,-5.730831098336638,0.26
batch_size,32,500,50,32,1,100,-10.261446889581288,3.1198876738719434,-16.451103851312666,-10.334333530905024,-5.762853603092809,0.19
batch_size,32,500,50,32,2,100,-10.131589281597977,3.0901681399935432,-16.067962966987757,-9.585096332431327,-5.728987186507541,0.3
batch_size,32,500,50,32,3,100,-10.461842893419016,2.8520152829045493,-16.607995158691036,-10.074875818633604,-6.248573185182479,0.17
batch_size,32,500,50,32,4,100,-10.604685611271158,3.1411532780896736,-16.471832989314077,-9.937961312677206,-5.640933883600795,0.3
batch_size,32,500,50,32,5,100,-10.060437154486756,3.194550057876699,-16.555780746739334,-8.844935450774436,-5.819892512843106,0.26
batch_size,64,500,50,64,0,100,-9.997976742633002,2.1025464956317035,-14.492808574397133,-10.016425216448102,-5.981083073196989,0.23
batch_size,64,500,50,64,1,100,-9.402683812036829,2.1326044341153843,-14.086517474504168,-9.212680007576257,-5.941767414672967,0.31
batch_size,64,500,50,64,2,100,-9.703860939110688,2.047140050838631,-14.585298660220232,-9.192740245041291,-5.853373785722993,0.2
batch_size,64,500,50,64,3,100,-9.486222386252214,2.2217958795120953,-13.872469071190014,-9.411004295678392,-5.789718703176563,0.33
batch_size,64,500,50,64,4,100,-9.286692154734064,2.0248236381270788,-13.909662413419333,-8.77150640566189,-5.755885437109184,0.23
batch_size,64,500,50,64,5,100,-9.491956167570715,2.1669862535892226,-14.26765894865772,-9.213474586520627,-6.04038923809537,0.32
