sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
num_epochs,100,100,50,32,0,100,-11.22025617761779,3.4383412268580096,-18.40916876995025,-11.266063525612324,-5.785552212604793,0.25
num_epochs,100,100,50,32,1,100,-11.053355356687648,3.1497479011092744,-16.922878561302987,-11.103003964429377,-5.636016148621168,0.3
num_epochs,100,100,50,32,2,100,-11.551489859844107,6.2518661909531685,-32.35223073451268,-10.44062728449558,-3.0017910421362464,0.3
num_epochs,100,100,50,32,3,100,-10.287317745446224,3.791821232237299,-17.469005738085297,-10.781349059708838,-4.189286669029921,0.19
num_epochs,100,100,50,32,4,100,-10.016947956275223,3.147480133620639,-16.703560673459904,-9.545646871883331,-5.289226378136606,0.29
num_epochs,100,100,50,32,5,100,-9.780275486629789,3.5938158924239594,-16.957882732045356,-9.436659091877855,-4.338338258624948,0.32
num_epochs,200,200,50,32,0,100,-9.448833185521602,3.7367463656530813,-16.952620950220027,-8.497274624199182,-4.080877641785748,0.23
num_epochs,200,200,50,32,1,100,-10.959794375718582,3.255767160872585,-16.438506263266138,-11.381526611559917,-5.618620858035946,0.2
num_epochs,200,200,50,32,2,100,-10.002643232467795,4.3241290395623855,-18.22055742157299,-9.769249961195062,-2.708924752636228,0.3
num_epochs,200,200,50,32,3,100,-9.725535149704239,3.7256803595514025,-16.661628083462652,-9.670620083478607,-3.8033715775508843,0.29
num_epochs,200,200,50,32,4,100,-10.013279725618924,3.245632187623578,-16.31139609889726,-10.127976068329538,-5.035881163260028,0.3
num_epochs,200,200,50,32,5,100,-10.311018364928858,3.976224007393153,-18.080781229068908,-10.217103298247586,-3.355523618433286,0.25
num_epochs,400,400,50,32,0,100,-9.6739925730981,3.649184742888942,-17.609378960949904,-9.322489657728319,-3.647739066137522,0.32
num_epochs,400,400,50,32,1,100,-10.301891414660854,3.1823435945662966,-16.320379887650247,-10.380347711936047,-5.103170890898052,0.22
num_epochs,400,400,50,32,2,100,-10.509486825699463,4.153734985002829,-18.013101085323704,-10.964529572553381,-3.185713418524259,0.22
num_epochs,400,400,50,32,3,100,-10.490708873072565,3.7939008945386345,-17.461085377332093,-10.906035384314483,-3.5755081267258544,0.15
num_epochs,400,400,50,32,4,100,-9.598173381195512,3.9966616782712254,-16.939777119200006,-9.41113525244458,-3.9419041296335138,0.26
num_epochs,400,400,50,32,5,100,-10.66063534631616,4.138617031224453,-18.19139024515483,-10.876809637819544,-3.2123994908215865,0.21
