sweep_name,sweep_value,num_epochs,episode_length,batch_size,seed,eval_count,mean_reward,std_reward,min_reward,median_reward,max_reward,success_rate
episode_length,25,500,25,32,0,100,-5.658423993380441,2.2580395962562116,-9.555638882699569,-5.765142731670116,-1.0756653996672143,0.26
episode_length,25,500,25,32,1,100,-5.464828711066924,2.2748368256855875,-9.864018110335804,-5.327145948792346,-1.713940649338795,0.28
episode_length,25,500,25,32,2,100,-5.93250778248331,2.2082869686449818,-9.837673488039426,-5.677674462306065,-1.6744567397876615,0.24
episode_length,25,500,25,32,3,100,-5.804496992126456,1.9826588708729285,-8.975704419379637,-6.028152182743925,-1.673311031995915,0.23
episode_length,25,500,25,32,4,100,-6.118794067981322,2.1625755803139666,-9.72649486504533,-6.369652108154522,-1.6724713696541205,0.17
episode_length,25,500,25,32,5,100,-5.403376321180852,2.1136367384077084,-9.65007376838994,-5.532684353020073,-1.7164409640647245,0.29
episode_length,50,500,50,32,0,100,-10.522224558621216,3.2764344523452573,-16.172308676429722,-10.862269754917836,-5.781184754810807,0.21
episode_length,50,500,50,32,1,100,-9.75061370004061,2.496168920662247,-15.74294324655293,-9.493794763898538,-5.547394474219342,0.33
episode_length,50,500,50,32,2,100,-10.50834660857033,3.101877806621659,-16.35477501820913,-10.05490294855637,-5.763362933403886,0.17
episode_length,50,500,50,32,3,100,-10.276415725826235,2.9423572828456424,-16.61358179329127,-9.810325230596263,-5.600369190714386,0.2
episode_length,50,500,50,32,4,100,-9.791486405371517,2.8694302185727856,-16.173740219438823,-9.35867870486543,-5.572413410337618,0.28
episode_length,50,500,50,32,5,100,-10.045117830290813,3.175862982515259,-16.561645389045548,-9.580805570564658,-5.4154063184208034,0.23
episode_length,100,500,100,32,0,100,-10.34835765603518,3.1514443316774217,-16.71367629289242,-9.861994640934157,-5.842475394744031,0.24
episode_length,100,500,100,32,1,100,-10.308365836955165,2.8438076646819366,-15.632170945734451,-9.935979403167341,-5.634635206549992,0.29
episode_length,100,500,100,32,2,100,-10.318229648740036,3.005165686446668,-16.55510849136622,-10.038462133647457,-5.689563503899029,0.25
episode_length,100,500,100,32,3,100,-10.257191140668988,3.106325638669782,-16.395499218378305,-9.512407178171504,-5.561885279745268,0.31
episode_length,100,500,100,32,4,100,-9.858248635059702,2.944633933481609,-15.362234303697832,-9.205624351326255,-5.461300214469687,0.24
episode_length,100,500,100,32,5,100,-10.476661908674508,3.280136238271264,-16.599621510702057,-9.650222168840202,-5.5577839634016035,0.36
